,Hour_End,Time,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
4203,6/24/2016 5:00,2016-06-24 05:00:00,10553.66892,1214.672133,2038.002932,788.7330139999999,12141.85476,3025.693887,5825.494882999999,993.7963048,36581.91683
4204,6/24/2016 6:00,2016-06-24 06:00:00,10832.24276,1294.439058,2039.079448,803.7373185,12454.3647,3050.59334,5972.8467009999995,1002.757987,37450.0613
4205,6/24/2016 7:00,2016-06-24 07:00:00,11142.46622,1322.548544,2059.502608,823.368494,12903.15459,3156.185368,6335.680703,1035.0991099999999,38778.005639999996
4206,6/24/2016 8:00,2016-06-24 08:00:00,11701.90325,1406.054126,2087.07579,858.1981536000001,13539.606240000001,3237.864886,6565.2144020000005,1075.5021869999998,40471.419030000005
4207,6/24/2016 9:00,2016-06-24 09:00:00,12720.51739,1509.114533,2174.1923469999997,913.8928219000001,14595.32875,3473.910919,7001.457665999999,1140.422896,43528.83732
4208,6/24/2016 10:00,2016-06-24 10:00:00,13876.377180000001,1635.51301,2249.207151,979.5910239,15727.23738,3806.6805310000004,7546.804289,1211.7650310000001,47033.17559
4209,6/24/2016 11:00,2016-06-24 11:00:00,15040.57969,1756.511496,2344.449502,1050.51829,17045.872580000003,4168.453808,8120.983805,1290.8216400000001,50818.190819999996
4210,6/24/2016 12:00,2016-06-24 12:00:00,15945.2117,1871.540538,2437.028032,1117.72271,18252.97239,4473.014464,8631.06709,1369.493612,54098.05054
4211,6/24/2016 13:00,2016-06-24 13:00:00,16684.91014,1964.795523,2494.5847350000004,1166.306492,19253.77784,4717.16714,9100.919476000001,1437.8023039999998,56820.26364
4212,6/24/2016 14:00,2016-06-24 14:00:00,17289.56179,2041.6046620000002,2557.407096,1213.820368,20092.771380000002,4903.631483,9495.85613,1497.543918,59092.19682999999
4213,6/24/2016 15:00,2016-06-24 15:00:00,17139.095380000002,2093.370352,2605.333903,1245.695521,20665.30799,5038.547453,9879.589215,1548.2567199999999,60215.19654
4214,6/24/2016 16:00,2016-06-24 16:00:00,16882.88665,2119.317019,2636.3820739999996,1264.122924,21064.788780000003,5129.446612,10113.255140000001,1590.489424,60800.68862000001
4215,6/24/2016 17:00,2016-06-24 17:00:00,16606.46294,2070.526796,2657.781817,1271.003959,21213.70277,5149.441611,10239.65979,1610.98803,60819.56771
4216,6/24/2016 18:00,2016-06-24 18:00:00,16447.36058,2021.2440530000001,2636.648812,1252.3485050000002,21146.80415,5063.456818,10093.607829999999,1602.0020949999998,60263.472839999995
4217,6/24/2016 19:00,2016-06-24 19:00:00,16193.11587,2005.420164,2604.912508,1221.3578109999999,20552.68997,4891.10499,9808.863394,1563.984025,58841.44873
4218,6/24/2016 20:00,2016-06-24 20:00:00,15712.54041,1922.3321170000002,2555.3811149999997,1176.567114,19611.924740000002,4687.810646,9412.410251000001,1515.997995,56594.96439
4219,6/24/2016 21:00,2016-06-24 21:00:00,15262.892609999999,1852.59007,2480.220202,1120.01914,18603.655759999998,4536.54427,8998.868414,1444.565328,54299.3558
4220,6/24/2016 22:00,2016-06-24 22:00:00,14863.699859999999,1822.5698519999999,2437.879239,1085.173414,18006.21301,4457.308428,8782.187203,1409.9690289999999,52865.00003
4221,6/24/2016 23:00,2016-06-24 23:00:00,14083.79073,1717.6889030000002,2367.885318,1018.678255,16790.876659999998,4235.742765,8245.502696,1329.221659,49789.38699
4222,6/25/2016 0:00,2016-06-25 00:00:00,13188.7794,1590.35148,2273.67674,949.48051,15417.8011,3950.5533,7610.897190000001,1230.45346,46211.99318
4223,6/25/2016 1:00,2016-06-25 01:00:00,12368.31213,1501.647749,2180.242319,889.4352395999999,14106.7117,3696.792374,6940.64479,1171.591533,42855.37783
4224,6/25/2016 2:00,2016-06-25 02:00:00,11758.137859999999,1414.7908869999999,2121.7974280000003,847.6698511,13174.322909999999,3497.807793,6462.760954,1114.472804,40391.76049
4225,6/25/2016 3:00,2016-06-25 03:00:00,11311.44742,1348.479906,2080.159219,805.470963,12492.66062,3348.66768,6145.160314,1071.184918,38603.23104
4226,6/25/2016 4:00,2016-06-25 04:00:00,10997.55774,1306.8906140000001,2044.915166,781.0266081,12099.46913,3254.6882739999996,5947.759588,1041.634696,37473.941810000004
